"GHP","Annee"
30.2562938754388,1995
28.7502984358536,1996
30.2483318567491,1997
29.3635739078261,1998
30.1669043945023,1999
30.6366925049122,2000
29.8468339246682,2001
30.3589704691159,2002
30.3632746005887,2003
30.5113148918713,2004
30.7311170964934,2005
31.6804027196357,2006
32.0271396284454,2007
32.4031669072654,2008
33.5890327734174,2009
33.3632322269604,2010
34.9087215442808,2011
35.0537646717887,2012
35.2404920339224,2013
37.2548148444161,2014
36.9301008135601,2015
37.0032134878815,2016
36.8167380532173,2017
37.8635691196259,2018
38.6789963534119,2019
38.6789963534119,2020
38.6789963534119,2021
38.6789963534119,2022
